gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000132716.19_DCAF8	26036	5.1	1.911e-101	8.118e-99
ENSG00000105245.9_NUMBL	1902.9	5.4	3.005e-101	1.051e-98
ENSG00000102900.13_NUP93	2984.1	-3.4	4.585e-101	1.247e-98
ENSG00000133606.11_MKRN1	56120.5	6	5.079e-101	1.749e-98
ENSG00000184678.10_H2BC21	1111	7	1.462e-100	4.995e-98
ENSG00000171940.13_ZNF217	9796.3	5.1	1.548e-100	5.247e-98
ENSG00000184481.17_FOXO4	10320.1	4.9	1.808e-100	8.106e-98
ENSG00000187688.15_TRPV2	4890.1	8.2	2.336e-100	8.168e-98
ENSG00000105856.14_HBP1	19128.4	5.7	2.658e-100	8.807e-98
ENSG00000147533.17_GOLGA7	3969.9	3.3	3.174e-100	1.340e-97
ENSG00000141867.17_BRD4	13284	3.2	3.132e-100	1.362e-97
ENSG00000105325.14_FZR1	13053.8	5.2	1.094e-99	4.722e-97
ENSG00000167703.14_SLC43A2	3936.9	6.3	1.920e-99	4.837e-97
ENSG00000166046.11_TCP11L2	19619.1	9.8	1.642e-99	6.985e-97
ENSG00000137193.14_PIM1	116799.3	5.1	2.718e-99	9.020e-97
ENSG00000151065.14_DCP1B	1500.3	4.5	2.264e-99	9.149e-97
ENSG00000143761.16_ARF1	25794	3.1	6.100e-99	1.906e-96
ENSG00000161011.20_SQSTM1	28508.7	5.1	7.823e-99	2.923e-96
ENSG00000002834.18_LASP1	10451.1	2.9	7.584e-98	2.336e-95
ENSG00000133069.17_TMCC2	237325.9	11.3	1.834e-97	5.610e-95
ENSG00000109332.20_UBE2D3	22844.4	2.9	3.541e-97	1.295e-94
ENSG00000013561.18_RNF14	6095.1	4.5	4.625e-97	2.065e-94
ENSG00000175155.10_YPEL2	2245.3	5.4	7.455e-97	2.338e-94
ENSG00000225190.11_PLEKHM1	3686.7	3.6	1.165e-96	2.717e-94
ENSG00000108406.10_DHX40	5649.3	3.3	1.983e-96	4.592e-94
ENSG00000100330.15_MTMR3	16095.8	4.7	1.651e-96	7.175e-94
ENSG00000180628.15_PCGF5	14442.6	4.5	2.917e-96	1.024e-93
ENSG00000197019.5_SERTAD1	1433.5	7.6	8.504e-96	2.137e-93
ENSG00000140564.12_FURIN	37565.3	5	7.680e-96	2.662e-93
ENSG00000160741.17_CRTC2	3510.1	3.8	1.158e-95	3.309e-93
ENSG00000080189.15_SLC35C2	2194.3	3.7	1.364e-95	4.058e-93
ENSG00000133639.6_BTG1	5143.9	4.8	1.494e-95	5.412e-93
ENSG00000119801.13_YPEL5	12050.6	4.5	2.156e-95	6.328e-93
ENSG00000132600.16_PRMT7	1039.8	-4.4	3.019e-95	6.605e-93
ENSG00000104856.14_RELB	1225.5	7.1	2.696e-94	6.475e-92
ENSG00000100325.15_ASCC2	12797.1	3.6	9.258e-94	3.770e-91
ENSG00000180667.10_YOD1	35782	5.4	1.972e-93	5.644e-91
ENSG00000139946.10_PELI2	1798.2	6.3	3.100e-93	1.081e-90
ENSG00000019995.6_ZRANB1	7941.1	4.4	4.525e-93	1.471e-90
ENSG00000170871.12_KIAA0232	24674.2	5.6	6.863e-93	2.726e-90
ENSG00000132376.20_INPP5K	4507.3	4	2.999e-92	9.634e-90
