gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000169515.8_CCDC8	52.7	-4.2	5.693e-07	4.524e-05
ENSG00000034053.14_APBA2	246.5	-1.7	5.491e-07	5.004e-05
ENSG00000130202.10_NECTIN2	1052.2	-1.5	5.005e-07	5.017e-05
ENSG00000023330.15_ALAS1	1278.3	-0.8	4.821e-07	5.190e-05
ENSG00000234093.3_RPS15AP11	41.2	2	6.405e-07	5.561e-05
ENSG00000143674.11_MAP3K21	136.3	1.9	8.309e-07	5.886e-05
ENSG00000112578.10_BYSL	1019.8	-0.8	6.093e-07	5.970e-05
ENSG00000242445.1_RPL7AP11	74.3	1.9	7.498e-07	6.456e-05
ENSG00000175886.10_RPL7AP66	132.2	1.4	7.820e-07	6.637e-05
ENSG00000152492.15_CCDC50	915.2	-1.1	9.079e-07	7.436e-05
ENSG00000124570.20_SERPINB6	2231.4	-1.4	5.510e-07	7.894e-05
ENSG00000100211.10_CBY1	440.2	0.9	9.505e-07	8.097e-05
ENSG00000126368.6_NR1D1	464.6	-1.9	1.006e-06	8.097e-05
ENSG00000159374.17_M1AP	21.3	2.7	9.792e-07	8.097e-05
ENSG00000233971.1_RPS20P10	63.7	1.9	1.230e-06	8.288e-05
ENSG00000115825.10_PRKD3	668.6	-1.5	1.017e-06	8.566e-05
ENSG00000131620.17_ANO1	25.4	-6.6	1.397e-06	8.617e-05
ENSG00000217027.1_TPT1P4	56.1	1.9	1.085e-06	8.678e-05
ENSG00000125821.12_DTD1	781	1.2	1.152e-06	8.985e-05
ENSG00000131378.14_RFTN1	856.8	1.6	4.434e-07	9.229e-05
ENSG00000169242.12_EFNA1	110.2	2.6	1.119e-06	9.229e-05
ENSG00000214784.4_AC010468.1	68.3	2.3	1.140e-06	9.309e-05
ENSG00000138698.14_RAP1GDS1	1436.6	1	1.100e-06	1.016e-04
ENSG00000185129.7_PURA	1354.5	0.7	1.208e-06	1.104e-04
ENSG00000234742.1_AC144530.1	39.7	1.9	1.428e-06	1.104e-04
ENSG00000078399.19_HOXA9	943.6	1.9	1.423e-06	1.138e-04
ENSG00000074416.14_MGLL	666.6	1.7	1.393e-06	1.192e-04
ENSG00000151491.14_EPS8	118	-2.1	1.547e-06	1.197e-04
ENSG00000224261.2_RPSAP18	31.8	2.5	1.776e-06	1.213e-04
ENSG00000161791.14_FMNL3	714.2	1.7	1.647e-06	1.214e-04
ENSG00000069998.12_HDHD5	518.4	-1.8	1.695e-06	1.243e-04
ENSG00000231767.4_AL136454.1	138.4	1.7	1.685e-06	1.278e-04
ENSG00000099308.10_MAST3	10697.7	-1.5	1.435e-06	1.316e-04
ENSG00000157500.12_APPL1	714.3	-1.6	1.784e-06	1.328e-04
ENSG00000213939.4_AC091153.1	90.7	2.1	1.867e-06	1.396e-04
ENSG00000184014.8_DENND5A	2968.3	-1.3	1.517e-06	1.402e-04
ENSG00000225200.2_AC246787.1	85.3	1.9	1.847e-06	1.402e-04
ENSG00000204740.11_MALRD1	38.7	6	1.818e-06	1.404e-04
ENSG00000160471.13_COX6B2	93.1	2.1	2.098e-06	1.538e-04
ENSG00000213885.4_RPL13AP7	107.7	1.3	2.188e-06	1.583e-04
ENSG00000241255.1_AL136126.1	31	1.7	2.620e-06	1.680e-04
ENSG00000250462.8_LRRC37BP1	309.1	1.1	4.063e-06	1.680e-04
ENSG00000163923.10_RPL39L	281.5	5.9	2.458e-06	1.701e-04
ENSG00000227615.1_AP001324.1	278.7	1.4	2.338e-06	1.712e-04
ENSG00000008256.16_CYTH3	1195.5	0.7	2.131e-06	1.718e-04
ENSG00000227376.1_FTH1P16	417.3	1.8	2.368e-06	1.718e-04
ENSG00000204385.12_SLC44A4	28.7	4.1	3.371e-06	1.792e-04
