gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000135919.13_SERPINE2	1425.2	1.7	1.447e-05	2.008e-03
ENSG00000114739.14_ACVR2B	396	-1.1	2.804e-05	2.012e-03
ENSG00000133121.21_STARD13	15.6	-2.2	1.724e-05	2.049e-03
ENSG00000253293.5_HOXA10	468.2	1.5	2.688e-05	2.050e-03
ENSG00000138795.10_LEF1	317	-2.3	2.744e-05	2.053e-03
ENSG00000105639.19_JAK3	602.3	-2	2.318e-05	2.076e-03
ENSG00000205885.7_C1RL-AS1	60.4	-1.5	3.783e-05	2.156e-03
ENSG00000171777.16_RASGRP4	350.3	-1.5	2.937e-05	2.194e-03
ENSG00000198133.8_TMEM229B	152	1.8	3.064e-05	2.268e-03
ENSG00000239257.1_RPL23AP1	99.2	3.1	4.040e-05	2.268e-03
ENSG00000233836.7_AC139769.1	75.7	-1.2	3.296e-05	2.391e-03
ENSG00000120162.10_MOB3B	819.9	-1.7	2.608e-05	2.401e-03
ENSG00000180543.5_TSPYL5	223.9	-1.2	3.393e-05	2.437e-03
ENSG00000166450.13_PRTG	40	-3.4	3.441e-05	2.459e-03
ENSG00000101347.9_SAMHD1	567	-1.7	3.426e-05	2.471e-03
ENSG00000163803.13_PLB1	43.1	-3.7	3.526e-05	2.495e-03
ENSG00000091106.19_NLRC4	18.5	-2.7	2.300e-05	2.501e-03
ENSG00000165071.14_TMEM71	54.2	-2.8	3.668e-05	2.546e-03
ENSG00000117115.13_PADI2	39.2	-4.2	3.675e-05	2.563e-03
ENSG00000141854.9_MISP3	99.6	1.5	3.675e-05	2.563e-03
ENSG00000198300.14_PEG3	67.3	-1.5	3.719e-05	2.563e-03
ENSG00000228065.11_LINC01515	45.3	-2.6	3.717e-05	2.563e-03
ENSG00000213432.2_RPL17P34	31.3	1.2	3.795e-05	2.597e-03
ENSG00000114698.15_PLSCR4	1050.7	1.3	3.228e-05	2.706e-03
ENSG00000100285.10_NEFH	543.9	-1.4	3.961e-05	2.710e-03
ENSG00000144057.15_ST6GAL2	57.7	3.3	5.218e-05	2.710e-03
ENSG00000204472.13_AIF1	2158.4	-1.9	3.320e-05	2.745e-03
ENSG00000169403.12_PTAFR	259.9	-1.7	4.187e-05	2.772e-03
ENSG00000160307.10_S100B	17.2	-4.4	2.576e-05	2.790e-03
ENSG00000141401.12_IMPA2	1388.9	1.2	3.549e-05	2.825e-03
